Nivel_Ingresos,Estado_Siniestro,Cliente_ID,Antigüedad_Maxima,Saldo_Pendiente,Saldo_Pendiente_Seg,Puntaje_Morosidad1,Puntaje_Morosidad2,Puntaje_Morosidad3,Puntaje_Morosidad4,Puntaje_Morosidad5,Puntaje_Morosidad6,Morosidad_total,Siniestros1,Siniestros2,Siniestros3,Siniestros4,Siniestros5,Siniestros6,Siniestros_total
Bajo,Si_siniestro,752410,43,8376.63,0,0,1,0,0,1,0,2,0,1,1,0,0,0,2
Bajo,Si_siniestro,783011,14,505.44,0,0,0,2,1,0,0,3,1,0,0,1,0,0,2
Bajo,No_siniestro,787318,7,1015.41,0,1,1,0,0,0,0,2,0,0,0,0,1,1,2
Bajo,No_siniestro,52777,1,1083.33,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Bajo,No_siniestro,57374,6,1815.61,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2
Bajo,No_siniestro,72978,101,2341.96,0,0,2,1,1,0,0,4,0,1,1,0,0,0,2
Bajo,No_siniestro,173541,11,374.48,0,0,0,0,1,0,0,1,0,0,1,1,0,0,2
Bajo,No_siniestro,175566,0,2166.83,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2
Bajo,No_siniestro,181336,9,38.99,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Bajo,No_siniestro,236532,24,770.93,0,0,0,1,1,0,0,2,0,0,1,1,0,0,2
Bajo,No_siniestro,248367,4,1407.74,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
Bajo,No_siniestro,366836,55,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2
Bajo,No_siniestro,373699,3,1182.33,0,1,1,0,0,0,0,2,0,2,0,0,0,0,2
Bajo,No_siniestro,424212,36,918.94,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2
Bajo,No_siniestro,569006,17,156.72,0,1,1,0,0,1,1,4,0,0,0,1,1,0,2
Bajo,No_siniestro,572144,4,404.23,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2
Bajo,No_siniestro,581121,18,325.92,0,1,1,1,0,0,0,3,1,0,0,1,0,0,2
Bajo,No_siniestro,619379,7,1852.2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2
Bajo,No_siniestro,637042,8,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Bajo,No_siniestro,691171,5,3521.03,0,0,1,0,0,0,0,1,1,1,0,0,0,0,2
Bajo,No_siniestro,691947,4,879.77,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Bajo,No_siniestro,715993,4,1502.77,0,1,1,0,0,0,0,2,1,1,0,0,0,0,2
Bajo,No_siniestro,716638,34,3881.02,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2
Moderado,No_siniestro,147957,42,26350.24,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Moderado,No_siniestro,196480,49,17507.11,29732.22,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Moderado,No_siniestro,210990,49,8123.88,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Moderado,No_siniestro,276341,60,13943,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
Moderado,No_siniestro,283678,98,28056.3,180427.98,0,0,0,1,1,0,2,0,0,0,0,1,0,1
Moderado,No_siniestro,325071,127,491.32,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Moderado,No_siniestro,345690,44,47230.82,48538.79,0,0,0,1,0,0,1,0,0,0,1,0,0,1
Moderado,No_siniestro,347725,47,6174.86,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Moderado,No_siniestro,478473,162,1928.58,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Moderado,No_siniestro,662169,126,559.34,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Moderado,No_siniestro,324952,93,25035.16,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Moderado,No_siniestro,426721,33,2694.94,0,0,0,0,1,1,0,2,0,0,1,0,0,0,1
Medio_bajo,Si_siniestro,31907,20,2015.41,0,0,1,1,0,1,1,4,0,0,1,0,0,0,1
Medio_bajo,Si_siniestro,36031,36,2099.65,0,1,1,0,0,0,0,2,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,45146,52,1596.62,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,45543,83,3785.68,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio_bajo,Si_siniestro,46197,45,954.68,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,46400,39,11.33,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,64296,55,22.7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,68090,39,1905.85,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,88489,13,2385.01,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_bajo,No_siniestro,99541,49,1592.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,102006,17,917.26,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_bajo,No_siniestro,112023,30,9204.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,115595,14,696.99,0,0,1,0,1,0,0,2,0,1,0,0,0,0,1
Medio_bajo,No_siniestro,115753,8,2422.81,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,125878,88,3482.05,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,127939,94,2157.91,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,133407,11,1226.89,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,151577,58,17190.66,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,Si_siniestro,152336,12,939.08,0,1,1,1,1,1,1,6,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,152484,21,5469.13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,Si_siniestro,161616,58,7513.55,0,1,1,0,1,1,0,4,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,162461,34,6098.19,0,1,0,1,0,1,1,4,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,202712,96,2742.24,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,Si_siniestro,215261,161,5434.33,0,1,1,0,0,0,0,2,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,215692,9,10199.78,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,225603,24,2446.82,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,226920,49,3698.07,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,237996,54,2939.43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,242903,6,1785.99,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,261458,97,18739.1,24108.71,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,264282,78,226.18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,268217,13,3931.77,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_bajo,No_siniestro,272033,28,2002.43,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,275860,49,8213.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,277179,35,2080.37,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,294147,50,962.08,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,302940,49,4680.24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,306626,122,1743,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,306886,28,11367.68,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,318267,138,12578.65,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_bajo,No_siniestro,335446,32,875.62,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,341132,49,2099.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_bajo,Si_siniestro,341477,62,6510,0,1,2,1,0,0,0,4,0,1,0,0,0,0,1
Medio_bajo,No_siniestro,342568,55,1542.49,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_bajo,No_siniestro,343555,15,5974.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_bajo,Si_siniestro,350673,10,1204.09,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,351133,105,2982.5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,359424,58,195.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,Si_siniestro,368026,74,83.36,0,3,2,1,0,1,0,7,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,390776,46,2210.11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_bajo,No_siniestro,394277,154,6245.97,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,397842,63,2543.17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,413198,120,334.85,0,0,1,1,0,0,0,2,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,415097,97,4030.92,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,415297,125,402.93,0,1,0,0,2,1,0,4,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,415877,26,9006.44,0,0,3,2,0,0,1,6,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,423114,7,3137.86,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,423130,44,253.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,424779,120,1112.36,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,425712,90,1687.76,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,446906,6,452.9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,458562,54,624.55,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,463940,44,113.31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,475749,80,647.05,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,485319,67,2069.28,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,507613,21,4294.79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,517039,25,45.73,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Medio_bajo,Si_siniestro,526075,24,10979.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,537408,70,7976.67,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,537781,18,8683.77,39568.68,2,1,1,0,0,0,4,1,0,0,0,0,0,1
Medio_bajo,Si_siniestro,539172,27,1469.16,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,541393,33,1317.64,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,550022,58,1609.94,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,555830,40,10277.46,29398.15,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,558977,12,14574.97,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,563677,10,2608.13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,Si_siniestro,564575,76,8151.15,53137.18,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,572382,47,484.42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,579482,43,8182.18,55681.19,0,0,0,0,1,1,2,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,603506,12,4872.24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,603787,160,5892.57,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,616760,40,313.72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,622586,19,18161.7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,623482,104,12431.07,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,629350,40,996.32,57918.24,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,634028,24,204.55,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,649247,12,1702.56,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,656276,88,124102.08,128892.33,0,0,0,2,1,0,3,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,667429,50,576.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,695599,116,3586.26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,699723,24,2000.82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,706398,29,942.2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,716286,7,381.15,0,0,0,2,1,2,1,6,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,722134,59,15076.46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,745988,41,13234.19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,759281,11,2883.21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,45180,42,1094.76,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,104309,46,1080.37,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,151147,3,4079.16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,188716,0,426.27,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,197065,17,661.43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,232307,7,462.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,266927,0,831.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,268193,44,3048.15,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,449063,51,10949.15,0,0,1,2,1,0,0,4,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,466209,86,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,497270,42,633.52,0,0,1,0,1,0,0,2,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,547290,42,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_bajo,No_siniestro,564089,5,3777.51,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,601756,5,1659.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_bajo,No_siniestro,602253,45,4191.54,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Medio_bajo,No_siniestro,741081,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_bajo,No_siniestro,759253,2,217.12,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_bajo,No_siniestro,765955,8,706.71,9540.16,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_alto,No_siniestro,19264,42,10033.09,0,0,0,1,1,2,1,5,0,0,0,0,1,0,1
Medio_alto,Si_siniestro,45194,13,9489.19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio_alto,No_siniestro,67989,55,1139,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_alto,No_siniestro,77758,216,3935.81,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1
Medio_alto,No_siniestro,105081,143,11567.04,69092.1,0,0,0,1,0,0,1,0,0,0,0,0,1,1
Medio_alto,No_siniestro,151221,168,41643.16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_alto,No_siniestro,200547,88,888.71,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_alto,No_siniestro,214780,49,13520.39,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio_alto,No_siniestro,266520,49,34348.56,84842.37,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio_alto,Si_siniestro,316496,49,10499.49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_alto,No_siniestro,333271,42,17336.6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Medio_alto,No_siniestro,355197,23,12639.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_alto,No_siniestro,743291,27,2659.21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio_alto,No_siniestro,753695,139,9110.72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio_alto,No_siniestro,677328,58,4610.59,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio,No_siniestro,118324,23,3602.23,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio,Si_siniestro,124442,7,872.75,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1
Medio,No_siniestro,182898,14,4031.47,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio,No_siniestro,187109,17,814.89,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio,No_siniestro,238954,72,6531.94,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
Medio,Si_siniestro,248963,12,3899.43,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Medio,No_siniestro,304850,49,3825.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Medio,No_siniestro,306157,48,997.82,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Medio,No_siniestro,307378,44,2690.6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1
Medio,Si_siniestro,312497,14,789.23,0,0,0,1,0,1,0,2,1,0,0,0,0,0,1
Medio,No_siniestro,503927,18,41.04,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio,No_siniestro,504598,47,16257.26,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Medio,No_siniestro,509504,9,6657.33,0,2,1,1,1,0,1,6,1,0,0,0,0,0,1
Medio,No_siniestro,568392,17,8232.45,0,1,1,1,0,0,0,3,1,0,0,0,0,0,1
Medio,Si_siniestro,575201,7,1020.88,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Medio,No_siniestro,714362,18,14698.34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Medio,No_siniestro,113980,42,7375.81,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
Medio,No_siniestro,122382,7,2925.6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Medio,No_siniestro,174352,0,7.82,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Medio,No_siniestro,230893,5,1850.95,0,2,1,1,1,0,0,5,1,0,0,0,0,0,1
Bajo,No_siniestro,10319,43,877.58,0,0,1,0,0,1,1,3,0,0,1,0,0,0,1
Bajo,Si_siniestro,34799,6,2632,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Bajo,No_siniestro,46674,17,399.01,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,Si_siniestro,47878,11,4491.6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1
Bajo,No_siniestro,49437,14,1698.55,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bajo,No_siniestro,54145,12,767.82,0,1,0,1,0,0,0,2,1,0,0,0,0,0,1
Bajo,Si_siniestro,55660,39,890.79,0,0,1,1,1,0,1,4,0,0,1,0,0,0,1
Bajo,No_siniestro,66752,86,271.83,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,68704,103,30.01,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bajo,No_siniestro,70927,24,925.84,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bajo,No_siniestro,76959,8,862.27,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,83617,19,460.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bajo,No_siniestro,96473,45,1132.09,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Bajo,No_siniestro,102679,60,1546.73,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,105767,38,687.83,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bajo,No_siniestro,108270,39,635.87,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bajo,No_siniestro,108547,27,1770.95,0,1,1,0,0,1,0,3,0,0,0,0,1,0,1
Bajo,Si_siniestro,112494,22,1367.38,0,2,1,1,1,1,1,7,1,0,0,0,0,0,1
Bajo,No_siniestro,125694,13,892.57,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Bajo,No_siniestro,135212,61,516.82,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Bajo,No_siniestro,159480,39,1192.09,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bajo,No_siniestro,168822,11,1164.35,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bajo,Si_siniestro,173687,30,433.11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bajo,Si_siniestro,184521,22,274.94,0,0,0,0,0,2,1,3,1,0,0,0,0,0,1
Bajo,No_siniestro,188191,104,1426.09,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,199990,49,636.84,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bajo,No_siniestro,225096,32,914.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bajo,No_siniestro,228628,14,3093,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bajo,No_siniestro,230844,13,143.96,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
Bajo,No_siniestro,231774,16,460.9,0,1,1,1,0,1,1,5,0,0,1,0,0,0,1
Bajo,No_siniestro,234112,17,828.08,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,235826,60,1015.28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,Si_siniestro,243471,8,1746.42,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,244744,41,5838.08,0,0,0,0,1,1,0,2,0,0,0,1,0,0,1
Bajo,Si_siniestro,247269,7,1202.43,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,Si_siniestro,249157,25,1244.69,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1
Bajo,Si_siniestro,251068,9,1866.19,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
Bajo,No_siniestro,281088,15,248.65,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bajo,No_siniestro,289052,35,646.87,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bajo,No_siniestro,291800,49,955.35,0,1,1,1,1,0,0,4,1,0,0,0,0,0,1
Bajo,Si_siniestro,295388,20,1922.18,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1
Bajo,No_siniestro,297719,140,4704.43,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
Bajo,No_siniestro,325325,10,104.77,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,350822,22,1105.8,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
Bajo,Si_siniestro,361925,6,2135.12,0,0,1,1,1,1,0,4,1,0,0,0,0,0,1
Bajo,No_siniestro,362368,7,287.15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,363972,26,1223.82,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bajo,Si_siniestro,370932,29,2064.83,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1
Bajo,Si_siniestro,372437,54,5142.46,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bajo,No_siniestro,374367,50,2108.57,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bajo,No_siniestro,384410,44,344.14,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bajo,No_siniestro,385382,11,843.34,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,402000,44,693.32,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1
Bajo,Si_siniestro,431422,14,2556.64,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1
Bajo,No_siniestro,432991,135,884.46,0,0,0,2,1,0,0,3,0,0,1,0,0,0,1
Bajo,No_siniestro,433772,7,364.15,0,1,1,1,0,1,0,4,1,0,0,0,0,0,1
Bajo,No_siniestro,434881,9,642.75,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Bajo,No_siniestro,437841,14,423.55,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
Bajo,Si_siniestro,438759,13,3483.12,0,1,0,1,0,0,0,2,0,0,1,0,0,0,1
Bajo,Si_siniestro,447054,8,1298.72,0,2,1,0,0,0,0,3,1,0,0,0,0,0,1
Bajo,No_siniestro,475291,6,3052.08,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Bajo,No_siniestro,478134,10,1544.42,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1
Bajo,No_siniestro,480435,27,672.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bajo,No_siniestro,493599,44,331.13,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1
Bajo,Si_siniestro,497299,30,1758.82,0,0,1,0,1,0,0,2,0,0,0,1,0,0,1
Bajo,No_siniestro,500124,7,465.23,0,1,1,1,1,1,1,6,0,0,1,0,0,0,1
Bajo,Si_siniestro,506175,14,1344.3,0,2,1,0,1,0,0,4,0,0,0,1,0,0,1
Bajo,Si_siniestro,513579,9,752.99,0,1,1,1,1,1,0,5,1,0,0,0,0,0,1
Bajo,No_siniestro,518127,27,736.7,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
Bajo,No_siniestro,519734,43,209.01,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
Bajo,Si_siniestro,542629,6,2875.6,0,2,1,1,1,0,0,5,1,0,0,0,0,0,1
Bajo,No_siniestro,544918,38,3415.68,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
Bajo,No_siniestro,564769,8,615.38,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1
Bajo,No_siniestro,570721,29,923.96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Bajo,No_siniestro,572486,9,5279.77,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1
